CNPJ_Fundo,dt,values,Percentual_Rentabilidade_Patrimonial_Mes
08.431.747/0001-06,2023-04-01,1.006432,0.99981
08.431.747/0001-06,2023-05-01,1.01622,1.009597
08.431.747/0001-06,2023-06-01,1.012533,1.005973
08.431.747/0001-06,2023-07-01,1.025373,1.018402
08.431.747/0001-06,2023-08-01,1.003302,0.994469
08.431.747/0001-06,2023-09-01,1.006508,0.997626
08.431.747/0001-06,2023-10-01,1.000436,0.991533
08.431.747/0001-06,2023-11-01,1.017374,1.008395
08.431.747/0001-06,2023-12-01,1.039637,1.030733
08.693.497/0001-82,2022-01-01,1.00865648,1.00233178
08.693.497/0001-82,2022-02-01,1.01142431,1.00511432
08.693.497/0001-82,2022-03-01,1.01128254,1.00500466
08.693.497/0001-82,2022-04-01,1.00859023,1.00234361
08.693.497/0001-82,2022-05-01,1.00903113,1.00279912
08.693.497/0001-82,2022-06-01,1.00736874,0.98544293
08.693.497/0001-82,2022-07-01,1.00949553,1.00318911
08.693.497/0001-82,2022-08-01,1.0065104,1.00022403
08.693.497/0001-82,2022-09-01,0.99593094,0.98964598
08.693.497/0001-82,2022-10-01,1.01790724,1.01155652
08.693.497/0001-82,2022-11-01,1.00724355,0.99156302
08.693.497/0001-82,2022-12-01,1.08512967,1.07879809
08.693.497/0001-82,2023-01-01,1.01585572,1.00960965
08.693.497/0001-82,2023-02-01,0.99759252,0.9914059
08.693.497/0001-82,2023-03-01,0.99653604,0.99083898
08.693.497/0001-82,2023-04-01,1.01241194,1.00498946
08.693.497/0001-82,2023-05-01,1.00807296,1.00413396
08.693.497/0001-82,2023-06-01,1.00987106,0.99126506
08.693.497/0001-82,2023-07-01,1.00608288,0.99838802
08.693.497/0001-82,2023-08-01,1.00783881,1.00123257
08.693.497/0001-82,2023-09-01,1.00645694,0.99985883
08.693.497/0001-82,2023-10-01,1.0058695,0.99927046
08.693.497/0001-82,2023-11-01,1.01050436,1.00390043
08.693.497/0001-82,2023-12-01,0.9989458,0.99128263
08.924.783/0001-01,2022-01-01,1.002405,0.996053
08.924.783/0001-01,2022-02-01,1.001619,0.997011
08.924.783/0001-01,2022-03-01,1.001604,0.996929
08.924.783/0001-01,2022-04-01,1.000602,0.997018
08.924.783/0001-01,2022-05-01,0.977027,0.971248
08.924.783/0001-01,2022-06-01,1.000713,0.996266
08.924.783/0001-01,2022-07-01,1.00183,0.998343
08.924.783/0001-01,2022-08-01,1.002385,0.996539
08.924.783/0001-01,2022-09-01,1.001459,0.998061
08.924.783/0001-01,2022-10-01,1.002523,0.998007
08.924.783/0001-01,2022-11-01,1.006296,1.001279
08.924.783/0001-01,2022-12-01,1.001538,0.997132
08.924.783/0001-01,2023-01-01,1.001244,0.995586
08.924.783/0001-01,2023-02-01,1.000292,0.996772
08.924.783/0001-01,2023-03-01,1.000861,0.996791
08.924.783/0001-01,2023-04-01,1.00192,0.997292
08.924.783/0001-01,2023-05-01,1.025242,1.018328
08.924.783/0001-01,2023-06-01,1.003594,1.001138
08.924.783/0001-01,2023-07-01,1.004661,1.000057
08.924.783/0001-01,2023-08-01,0.998749,0.992726
08.924.783/0001-01,2023-09-01,1.000975,0.996672
08.924.783/0001-01,2023-10-01,1.012118,1.008545
08.924.783/0001-01,2023-11-01,0.998025,0.994948
08.924.783/0001-01,2023-12-01,0.989476,0.986323
09.006.914/0001-34,2022-01-01,1.004151,1.003173
09.006.914/0001-34,2022-02-01,1.003782,1.002804
09.006.914/0001-34,2022-03-01,1.006749,1.005771
